id,userId,clubId,authority,status,joinMessage
1,1,1,HOST,ACTIVE,모임을 안정적으로 운영해보겠습니다.
2,2,2,HOST,ACTIVE,독서 모임을 차분히 이끌어보겠습니다.
3,3,3,HOST,ACTIVE,집밥 이야기를 편하게 나누겠습니다.
4,4,4,HOST,ACTIVE,안전한 등산 모임으로 운영하겠습니다.
5,5,5,HOST,ACTIVE,음악 이야기를 편하게 나누고 싶습니다.
6,6,6,HOST,ACTIVE,사진 산책을 함께 기록하겠습니다.
7,7,7,HOST,ACTIVE,작은 봉사부터 함께하겠습니다.
8,8,8,HOST,ACTIVE,건강을 위해 꾸준히 운영하겠습니다.
9,9,9,HOST,ACTIVE,영화 모임을 즐겁게 이끌어보겠습니다.
10,10,10,HOST,ACTIVE,흑석시장 맛집을 함께 찾아보겠습니다.
11,11,11,HOST,ACTIVE,스마트폰 사진을 차근차근 알려드리겠습니다.
12,12,12,HOST,ACTIVE,편안한 대화 모임을 만들겠습니다.
13,13,13,HOST,ACTIVE,안전한 자전거 모임을 운영해보겠습니다.
14,14,14,HOST,ACTIVE,우리 동네 이야기를 함께 걷겠습니다.
15,15,15,HOST,ACTIVE,생활 재테크를 같이 공부하겠습니다.
16,16,16,HOST,ACTIVE,오래된 노래를 함께 즐기겠습니다.
17,17,17,HOST,ACTIVE,식물 돌봄 팁을 나누는 모임을 만들겠습니다.
18,18,18,HOST,ACTIVE,바둑을 두며 좋은 이웃을 만나겠습니다.
19,19,19,HOST,ACTIVE,공연과 전시에 함께 가는 모임을 이끌겠습니다.
20,20,20,HOST,ACTIVE,느긋한 여행 준비를 함께하겠습니다.
21,21,21,HOST,ACTIVE,아침 체조를 꾸준히 이어가겠습니다.
22,22,22,HOST,ACTIVE,글씨와 글쓰기를 차분히 연습하겠습니다.
23,23,23,HOST,ACTIVE,경험을 나누고 멘토링을 이어가겠습니다.
24,24,24,HOST,ACTIVE,주말 문화 탐방을 꾸준히 운영하겠습니다.
25,2,1,GENERAL,ACTIVE,걷기 모임에 꾸준히 참여하고 싶습니다.
26,6,3,GENERAL,ACTIVE,집밥 메뉴를 함께 배워보고 싶습니다.
27,10,7,GENERAL,ACTIVE,봉사활동을 동네에서 시작해보고 싶습니다.
28,14,12,GENERAL,ACTIVE,차와 대화 모임에 편하게 참여하고 싶습니다.
29,18,19,GENERAL,ACTIVE,공연 전시 동행을 함께하고 싶습니다.
30,22,21,GENERAL,ACTIVE,아침 체조로 건강을 챙기고 싶습니다.
